Händler-SKU;ASIN 1;Artikelbezeichnung;Artikelbeschreibung;Angebotsnummer;Preis;Menge;Erstellungsdatum;Produkt-ID-Typ;Anmerkung zum Artikel;Artikelzustand;Internationaler Versand;Expressversand;Produkt-ID;Anzahl Bestellungen;Versender;Standardpreis;Produktsteuerschlüssel;Nettopreis
1948;B007M8LQ6A;Matcha Tekiro Grüntee Pulver - 30gr;Bio Matcha Tekiro in der 30g Schmuckdose. Ein vollmundiger, fruchtiger Kagoshima-Matcha mit ausgeprägtem Nachklang. Sein frischer Duft ist eine Sensation für die Nase , sein jadegrüner Schaum ein Fest für die Augen und ein Feuerwerk für den Gaumen! Gleichermaßen als Usucha und Koicha zu empfehlen. Aus kontrolliert biologischen Anbau - DE-Öko-013;0319M3GVTWI;26;6;19/03/2012 11:27:39 MET;4;;11;;;4031322009675;0;DEFAULT;;;
1958;B007M8LQNI;Matcha Mantoku Grüntee Pulver - 30gr;Bio Matcha Tee Mantoku in der 30g Schmuckdose. Dieser wunderbar grüne Matcha gehört zu den Raritäten der Teewelt ! Matcha Mantoku ist ein überaus vielschichtiger Kagoshima-Matcha. Sein Duft hat eine frische und gleichzeitig warme Note, auf der Zunge entfaltet er eine Fülle unbeschreiblicher Aromen, intensiv und doch fast ohne Bitterkeit. Er eignet sich nicht nur für den leichten Matcha (Usucha), sondern auch hervorragend für den dickflüssigen Matcha (Koicha)! Aus kontrolliert biologischen Anbau - DE-Öko-013;0319M3GVVM6;28.99;3;19/03/2012 11:27:42 MET;4;;11;;;4031322009682;0;DEFAULT;;;
21643;B006YNAXA4;Früchtetee Sanddorn mit Orange;100g;0117MGMYSRO;Mrz 75;1;17/01/2012 10:22:01 MET;4;.;11;;;4004986216437;0;DEFAULT;;;
220204;B0000CDLPB;Trendglas Jena Tea Time Teetasse mit Deckel u. Edelstahlfilter, 0,4 l;;1207NPT8KKO;18. Sep;35;07/12/2013 11:04:33 MET;1;;11;;;B0000CDLPB;0;DEFAULT;;;
220211;B001RF2HRG;Trendglas Jena Tea Time Teetasse mit Glasfilter (0,3 Liter);;1207NPT3QSU;18. Sep;27;07/12/2013 11:03:21 MET;1;.;11;;;B001RF2HRG;0;DEFAULT;;;
22122;B005OK1GJ0;Mango and friends - Sweet Mango Früchtetee-100g;Ein Premium Früchtetee mit vollem Mango und extotischem Fruchtgeschmack. Ein Früchtetee der Extraklasse! Extra große Flocken und Würfel von saftigen, ausschließlich exotischen Früchten bilden diese säurearme Basis. Der bereits durch diese Fruchtzutaten raffinierte, typische Geschmack wird durch eine besondere süß-frische Aromenkombination wunderbar ergänzt.;0327ME65SLU;04. Apr;65;27/03/2012 11:57:31 MEST;1;.;11;;;B005OK1GJ0;0;DEFAULT;;;
22122.1000;B005OK1GEA;Früchteteemischung, aromatisiert - Mango n Friends (1.000gr);;0327ME6SSVC;39;6;27/03/2012 12:25:21 MEST;1;.;11;;;B005OK1GEA;0;DEFAULT;;;
22122.250;B005OK1GO0;Früchteteemischung, aromatisiert - Mango n Friends (250gr);;0327ME66VPC;10. Apr;26;27/03/2012 11:59:17 MEST;1;.;11;;;B005OK1GO0;0;DEFAULT;;;
22122.500;B005OK1GUE;Früchteteemischung, aromatisiert - Mango n Friends (500gr);;0327ME67HAU;19. Mai;13;27/03/2012 12:00:17 MEST;1;.;11;;;B005OK1GUE;0;DEFAULT;;;
24225;B005N5J76U;Sanddorn Holunder Früchtetee;100g;0117MGOX69I;Mrz 75;35;17/01/2012 11:45:25 MET;4;.;11;;;4004986439751;0;DEFAULT;;;
28-U83F-FXLM;B006XBWRG0;FLORAGOLD Pyramidenbeutel Bio KT Pfefferminzblätter geschnitten, 1er Pack (1 x 30 g);;1203V7ZL5TC;05. Apr;8;03/12/2019 12:58:00 MET;1;;11;;;B006XBWRG0;0;DEFAULT;;;
2D-L5I5-FF7J;B0883C29HN;Bio Matcha Green - Grüner Tee Celestial Seasonings;Bio Grüntee & Matcha Mischung zum aufgießen im praktischen Aufgussbeutel. Packungsinhalt: 20 Beutel a 1,45g Frischer Sencha-ähnlicher grüner Tee, mit purem Matcha Grüntee-Pulver gemischt. Sanft aber lebhaft. Sind Sie neugierig geworden? Machen Sie einfach die Packung auf! DIE PERFEKTE TASSE TEE ZUBEREITEN WASSER KOCHEN Frisches, gefiltertes Wasser zum Kochen bringen. ZIEHEN LASSEN Einen Teebeutel mit einer Tasse Wasser übergießen. 4 bis 6 Minuten ziehen lassen, dann den Teebeutel entnehmen. GENIESSEN Ggf. süßen und genießen.;0505X0Q1ZVE;Mrz 99;104;05/05/2020 13:39:44 MEST;3;;11;;;758913512461;0;DEFAULT;;;
30258;B00D5FQARY;"Tea for one Set ""Fritzi"" Keramik, 4 teilig Kanne: 0,4 l, Tasse: 0,2 l";;1207NPSK50I;19. Sep;3;07/12/2013 10:55:17 MET;1;.;11;;;B00D5FQARY;0;DEFAULT;;;
30284;B00422AHMI;Tea-for-One Set Molly;;1207NPSLG06;18. Mai;1;07/12/2013 10:56:16 MET;1;.;11;;;B00422AHMI;0;DEFAULT;;;
31500;B0174YLHEC;"Tea for one Set ""Charlana"" Porzellan, 4-teilig Kanne: 0,3 l, Tasse: 0,17 l";;0118SJ65C66;21;2;18/01/2017 15:15:30 MET;1;.;11;;;B0174YLHEC;0;DEFAULT;;;
