SKU	ASIN	Preis	Menge
C0179	B018EARM08	14.90	0
C0196	B018UAYV2Y	39.90	0
CN-GOWU-TD80	B07YB4V655	21.90	0
D2-BPL7-BY0T	B00EWSTA98	7.20	0
DB15574	B01H1PO5MK	27.90	0
DK88-117	B00YCE1BQC	15.90	0
EU-CNPB-F44Z	B00QTPVF40	15.90	0
FC-7GQC-JGNJ	B075MDWP2J	4.90	0
FEO-AK-01TEE	B0158Q1ISI	48.50	0
FEO-AK-02JAP	B015ADIPNA	49.00	0
GL-PP31-VQOU	B01DK7QR74	5.40	0
GM10007	B00BS899D2	2.75	0
GV1076-Retail	B06XD8D9YS	19.90	0
GX-384H-A6KY	B07LFBDQTD	19.50	0
IF11056	B016IO11ZO	11.10	0
JQ-INF3-BSKI	B01DK7YAT6	5.40	0
JQ-Q0TU-QVLJ	B001OHSXPW	3.99	0
K9-AV9G-BU1N	B000H79PTI	132.00	0
KL-ASUB-0F7N	B07T5BL52G	19.90	0
KN-3SOT-FADG	B081D1FCWN	7.95	0
KP1150021925	B01LX6TQ3D	19.90	0
KP1151430872	B00QTYBTJM	16.90	0
KP1151432135	B01MTUYE77	16.90	0
KT160-200	B06XBWZ3KW	29.90	0
MESPFOR013	B0711BXP89	15.90	0
MG03564	B01M3O8BRV	16.60	0
MG04178	B005ZR97AM	6.50	0
MG06773	B01MUU2HAT	6.90	0
MG06774	B01N9ZV6OU	6.90	0
MO46001	B0196TPS2A	33.90	0
MO52200	B00P16XHGC	29.90	0
MO52204	B00P16XE1A	29.90	0
MO52207	B00P16X5VY	29.90	0
MO52209	B00P16X0LE	29.90	0
MO52210	B00P16X2CQ	29.90	0
MO52212	B00P16X5IW	29.90	0
MO52215	B00P16X2DK	29.90	0
MO52217	B00P16XAKA	29.90	0
MO55015	B004KEB3AS	72.40	0
MO55140	B004KECXJS	44.90	0
MO60110	B00A9FD0LM	15.90	0
MO61100	B004LJ0A3I	10.50	0
MO62100	B008MM17E6	24.90	0
MO62114	B00LGIAH3A	13.90	0
MO62116	B00LGIAEL0	13.90	0
MO62245	B00SY4GQO8	24.90	0
MO62250	B00DBUNSUK	24.90	0
MO63004	B00YRSBALE	19.90	0
MO63006	B00YRSB6VI	19.90	0
MO63670	B00D8ZBW74	19.90	0
MO68650	B005OYEAT4	9.10	0
MO69110	B00KIMIIDQ	24.90	0
PPGK01	B00Q2TYOSM	22.50	0
PPK01	B00N2TNHEM	18.90	0
PPMT01-TEAWORLD	B00NEOPZK4	15.90	0
PPOT01	B013IDDEYO	25.60	0
PPPB02	B01CEF1Z7U	14.90	0
PPW01	B00Q2UXDS8	11.90	0
R0-WI72-3ABJ	B07SGBW8R5	12.90	0
RF01	B001WMJ4AW	29.90	0
RF070	B004EXRF9I	6.80	0
RI-3IEV-WBEN	B075MFPV6Q	21.90	0
S8-HERK-1UVT	B00V3GRXAU	47.46	0
SA2015	B017J2QYUG	44.90	0
